시장명,시장유형,소재지도로명주소,시장개설주기,소재지지번주소,점포수,사용가능상품권,공중화장실 보유여부,주차장 보유여부,개설년도,데이터기준일자
광안종합시장,상설,부산광역시 수영구 광안동 343-35,상설,부산 수영구 광안동 94-1,29,,Y,N,,2015-12-31
광안시장,상설,부산광역시 수영구 광안동 559-2,상설,부산 수영구 광안동 559-2번지 외,48,온누리상품권,Y,N,2007,2015-12-31
세흥시장,상설,부산광역시 수영구 남천대로 16,상설,부산 수영구 남천동 26-5,61,,Y,N,,2015-12-31
삼익비치B상가시장,상설,부산광역시 수영구 남천동 148-5,상설,부산 수영구 남천동 148-5,142,온누리상품권,Y,Y,2005,2015-12-31
삼익비치A상가시장,상설,부산광역시 수영구 남천동 148-9,상설,부산 수영구 남천동 148-9,112,온누리상품권,Y,Y,1980,2015-12-31
남천해변시장,상설,부산광역시 수영구 남천동 556,상설,부산 수영구 남천동 556,219,온누리상품권,Y,Y,2007,2015-12-31
망미중앙시장,상설,부산광역시 수영구 망미동 431-6,상설,부산 수영구 망미동 431-6번지 외,110,온누리상품권,Y,N,2006,2015-12-31
망미삼성상가시장,상설,부산광역시 수영구 망미동 777,상설,부산 수영구 망미구 777,19,,Y,Y,,2015-12-31
망미종합시장,상설,부산광역시 수영구 망미동 804-1,상설,부산 수영구 망미동 804-1,70,,Y,N,1978,2015-12-31
망미새상가시장,상설,부산광역시 수영구 망미동 831-13,상설,부산 수영구 망미동 831-13,28,온누리상품권,Y,N,1977,2015-12-31
동방시장,상설,부산광역시 수영구 민락동 161-7,상설,부산 수영구 민락동 161-7,27,,Y,N,,2015-12-31
민락씨랜드시장,상설,부산광역시 수영구 민락동 181-228,상설,부산 수영구 민락동 181-228,53,온누리상품권,Y,N,1998,2015-12-31
광안어패류시장,상설,부산광역시 수영구 민락동 181-72,상설,부산 수영구 민락동 181-72,44,온누리상품권,Y,Y,1989,2015-12-31
민락어패류시장,상설,부산광역시 수영구 민락동 181-8,상설,부산 수영구 민락동 181-8,79,온누리상품권,Y,Y,1983,2015-12-31
민락회타운시장,상설,부산광역시 수영구 민락동 181-84,상설,부산 수영구 민락동 181-84,66,온누리상품권,Y,Y,2005,2015-12-31
민락골목시장,상설,부산광역시 수영구 민락동 190-1,상설,부산 수영구 민락동 190-1번지 외,89,온누리상품권,Y,Y,2008,2015-12-31
수영팔도상가시장,상설,부산광역시 수영구 수영동 305-3,상설,부산 수영구 수영동 305-3번지 외,132,온누리상품권,Y,Y,2010,2015-12-31
사단법인수영건설시장,상설,부산광역시 수영구 수영동 466-20,상설,부산 수영구 수영동 466-20,18,,Y,N,1979,2015-12-31
현대종합상가시장,상설,부산광역시 수영구 수영동 541,상설,부산 수영구 수영동 541,23,,Y,N,,2015-12-31
거성시장,상설,부산광역시 연제구 거제1동 987-10,상설,부산 연제구 거제동 987-10,23,,Y,N,1978,2015-12-31
거제시장,상설,부산광역시 연제구 거제동 486-1,상설,부산 연제구 거제동 486-1,90,온누리상품권,Y,N,1985,2015-12-31
연미새시장,상설,부산광역시 연제구 연산동 2124-16,상설,부산 연제구 연산동 2124-16,75,온누리상품권,Y,N,2009,2015-12-31
연동시장,상설,부산광역시 연제구 연산동 312-18,상설,부산 연제구 연산동 312-18,22,온누리상품권,Y,Y,1978,2015-12-31
연천시장,상설,부산광역시 연제구 연산동 364-1,상설,부산 연제구 연산동 364-1,80,온누리상품권,Y,N,1980,2015-12-31
연일시장,상설,부산광역시 연제구 연산동 636-28,상설,부산 연제구 연산동 636-28,56,온누리상품권,Y,N,1980,2015-12-31
영남종합시장,상설,부산광역시 연제구 중앙대로 1030-1,상설,부산 연제구 연산동 1328-15,24,,Y,Y,1978,2015-12-31
영도봉래시장,상설,부산광역시 영도구 봉래동3가 13-3,상설,부산 영도구 봉래동 3가 13-3,113,온누리상품권,Y,Y,2006,2015-12-31
